"id","en","preferred_zh","alt_zh","status","difficulty","confidence","attestations","definition_en","definition_zh","pitfalls","REVIEWER_VERDICT","REVIEWER_SUGGESTED_ZH","REVIEWER_NOTES"
"capability-elicitation","capability elicitation","能力激发","能力引出","common","high","low","1","Actively working to get a model to show the best it can do — through prompting, scaffolding, fine-tuning or tool access — so that an evaluation measures the model's real ceiling rather than an artefact of a lazy test harness. Central to frontier safety work because an under-elicited dangerous-capability eval gives false assurance.","通过提示策略、脚手架、微调或工具接入等手段，主动把模型的真实能力上限逼出来，使评测结果反映模型的实际能力而非测试方法的局限。这在前沿安全评测中至关重要：激发不足的危险能力评测会给出虚假的安全保证。","This is a genuine gap. The concept is discussed in Chinese AI-safety documents but almost always described rather than named — e.g. the Shanghai AI Lab framework talks about allocating dedicated compute to make evaluations thorough, without a noun for elicitation. 能力激发 ('capability activation/arousal') is the closest circulating term but is used mainly in a prompt-engineering/performance context, not a safety-evaluation one, and carries no sense of 'adversarially trying hard to make the model show a dangerous capability'. 能力引出 is a more literal calque but we found no attested use. Note also that 激发 is a positive-valence word (to inspire, to stimulate), which fits the productivity framing and fights the safety framing.","","",""
"capability-overhang","capability overhang","能力悬置","未被激发的潜在能力","proposed","high","low","0","Latent capability a deployed model already possesses but that nobody has yet elicited — so that better prompting, scaffolding or fine-tuning can unlock large jumps in capability with no new training. By extension, 'compute overhang' is unused compute that could be converted into capability quickly.","指已部署模型实际具备、但尚未被激发出来的潜在能力；一旦有人找到更好的提示、脚手架或微调方式，能力就可能在不做新训练的情况下大幅跃升。引申的“算力悬置”则指尚未被利用、可迅速转化为能力的算力。","No Chinese term was found in any source consulted; zero occurrences of 悬垂/悬置 in the Chinese 2026 International AI Safety Report despite that report discussing the underlying phenomenon (models whose dangerous capabilities are not revealed by pre-deployment testing). The English metaphor is architectural — an overhang is mass projecting beyond its support — and neither obvious Chinese candidate carries it: 悬垂 is the physical 'to hang down / drape' (also a textile and a medical term) and 悬置 means 'to suspend, to leave in abeyance', which is closer to the intended sense of latent-and-unrealised but is not idiomatic here either. Chinese sources reach the idea descriptively, via 潜在能力 and 未被激发的能力. Recommend a gloss on first use in any case.","","",""
"capability-threshold","capability threshold","能力阈值","风险阈值 / 红线 / 关键能力等级","established","low","medium","6","A pre-defined level of model capability which, once evaluations show it has been reached, triggers a specified response — heightened safeguards, restricted deployment, or halting development. The mechanism that turns a frontier safety framework from a statement of values into a commitment.","预先设定的模型能力水平；一旦评测显示模型达到该水平，就触发既定动作——提升防护等级、限制部署或停止研发。正是这一机制把前沿安全框架从表态变成承诺。","The translation is easy; the interesting part is that Chinese frontier-safety work has a native alternative framing. Rather than importing numbered capability levels, the Shanghai AI Lab / Concordia AI framework builds a two-tier 红线 / 黄线 system: 红线 marks unacceptable outcomes, 黄线 an early-warning indicator that escalates safeguards. 红线 is one of the most resonant words in PRC political language (bottom lines that must not be crossed) and connects directly to the IDAIS-Beijing 红线 vocabulary, so it carries far more weight with a Chinese policy audience than 能力阈值 does. Note the framing difference is substantive, not just lexical: 红线 is defined on outcomes, 能力阈值 on model capabilities — the Chinese framework deliberately anchors on the former.","","",""
"catastrophic-risk","catastrophic risk","灾难性风险","人类存亡风险","established","low","medium","2","Risk of harm at a scale that is severe and largely irreversible — mass casualties, or damage to critical systems that society cannot readily recover from. Weaker than existential risk, which threatens humanity's long-term potential outright.","指后果极其严重且基本不可逆的风险——大规模伤亡，或对关键系统造成社会难以恢复的破坏。它比“人类存亡风险”弱：后者直接威胁人类的长期前途。","The term itself translates cleanly and is used by the leading Chinese AI-safety organisation. Two things to watch. First, it does not map onto PRC policy vocabulary: official Chinese risk language runs through 重大风险 / 重大安全风险 (major risk) and graded 风险等级, and 重大 is a bureaucratic severity marker, not a claim about irreversibility — so 灾难性风险 sits in the research register while 重大风险 sits in the policy register. Second, keep it distinct from 人类存亡风险 (existential risk, glossed X-Risk in Chinese academic writing); Chinese media often blurs the two.","","",""
"cbrn","CBRN","化生放核","化学","established","low","high","3","Chemical, biological, radiological and nuclear — the weapons categories that frontier safety frameworks treat as the canonical catastrophic-misuse domain, and the first area where labs have deployed heightened safeguards.","化学、生物、放射性与核武器四类，是前沿安全框架公认的灾难性滥用风险领域，也是各实验室最早启用更高等级防护措施的方向。","Two registers. PRC military and civil-defence Chinese has the compact established abbreviation 化生放核 (and 化生放核爆 for CBRNE), which the Shanghai AI Lab framework and Concordia AI both use. Translated international reports instead spell out 化学、生物、放射性和核 with the English CBRN in parentheses, because 化生放核 is not transparent to a general policy reader outside the defence world. Both are correct; pick by audience. Also worth knowing: the Chinese order matches the English (chemical first), and the older PRC term 三防 ('three defences', against nuclear/chemical/biological) survives in military contexts and is not equivalent.","","",""
"chain-of-thought","chain of thought","思维链","思路链 / 慢思考","established","low","high","4","Having a model generate explicit intermediate reasoning steps before its final answer, either by prompting or because it was trained to. The substrate that reasoning models and CoT monitoring both depend on.","让模型在给出最终答案之前先写出中间推理步骤，可以靠提示引导，也可以靠训练内化。它既是推理模型能力的来源，也是思维链监控这类安全手段的前提。","Settled, but note two things. First, 中文维基百科 renders it 思路链 (""train-of-thought chain"") rather than 思维链 — a minority variant a reader may encounter. Second, in practitioner speech 思维链 is often displaced by 思考 / 长思考 / 慢思考 when describing what a reasoning model does internally, and by the bare CoT when used as a modifier (CoT 数据, CoT 长度).","","",""
"cot-faithfulness","chain-of-thought faithfulness","思维链忠实性","思维链忠实度 / CoT忠实性","common","medium","low","1","The degree to which a model's written chain of thought actually reflects the computation that produced its answer. Anthropic's 2025 results found reasoning models frequently use hints without mentioning them, undercutting CoT monitoring.","模型写出来的思维链在多大程度上真实反映了它得出答案的实际过程。Anthropic 2025 年的实验发现，推理模型常常用了提示却在思维链里只字不提，这直接动摇了思维链监控的可行性。","忠实性 and 忠实度 both circulate and mean the same thing (-ness vs -degree); 忠实度 is slightly more common when a measured number is meant. The bigger trap is 保真度, the established Chinese rendering of 'fidelity' in signal processing and image compression — it is a false friend here and does not carry the 'says what it actually did' sense. Also beware 忠诚 (loyalty), which some casual writing reaches for and which anthropomorphises in the wrong direction.","","",""
"cot-monitoring","chain-of-thought monitoring","思维链监控","CoT 可监测性","common","medium","low","1","Reading a reasoning model's chain of thought at inference time to detect misbehaviour, misaligned intent, or awareness of being evaluated. The subject of a July 2025 cross-lab position paper arguing that CoT monitorability is a fragile and possibly temporary safety affordance.","在推理阶段直接读模型的思维链，用来发现违规意图、失准苗头或模型察觉到自己正在被测试等信号。2025 年 7 月 OpenAI、DeepMind、Anthropic 等联合发表立场文件，认为这种「可监测性」脆弱且可能是暂时的。","Heavy code-switching: Chinese coverage of the 2025 position paper frequently leaves 'CoT monitoring' in English inside otherwise-Chinese sentences, and where it does translate, it prefers 可监测性 (detectability/observability) over the more literal 可监控性 (monitorability). 监测 and 监控 are not identical: 监控 carries surveillance/CCTV overtones, 监测 reads as instrumented measurement. English 'monitorability' is closer to 监控 in spirit (an overseer watching an agent), so the common Chinese choice quietly softens the term.","","",""
"chokepoint-technology","chokepoint technology","卡脖子","stranglehold technology / bottleneck technology","common","high","medium","2","Literally 'to grip [someone] by the neck'. Names a technology where foreign dependence gives another party the ability to throttle you — the canonical case being advanced semiconductors, but the term is applied equally to crop seed stock, industrial software, high-end instruments and basic materials. In policy text it usually appears in quotation marks as 「卡脖子」问题 or 「卡脖子」技术攻关.","字面意思是掐住脖子，指关键核心技术受制于人、可能被外方断供的领域。芯片是最典型的例子，但同样用于种源、工业软件、高端仪器、基础材料等。在政策文件中通常加引号出现，如“卡脖子”问题、“卡脖子”技术攻关。","The standard English renderings all drop the agent. 'Bottleneck' is a structural constraint that nobody imposes; 'chokepoint' is a place on a map, borrowed from maritime strategy. 卡脖子 is a transitive act with a hand and a throat: someone is doing this to you, deliberately, and could tighten their grip. That is why the phrase carries the political charge it does and why it licenses emergency-mode resource allocation. Also note the register: it is vivid, bodily, colloquial idiom appearing inside the most formal Party and State Council documents, invariably in quotation marks — English policy prose has no equivalent move, and every translation either sounds absurdly informal or flattens it into technocratic vocabulary. Finally, do not read it as chip-specific: the 14th Five-Year Plan's most prominent use is about seed stock.","","",""
"circuit","circuit","回路","电路 / circuit","contested","medium","high","4","A subgraph of a network — specific features, attention heads and MLP paths wired together — that implements an identifiable algorithm, such as copying a repeated token or resolving an indirect object.","网络中的一个子图：若干特征、注意力头和 MLP 路径连成一条通路，共同实现一个可辨认的算法，比如复制重复出现的 token，或判断间接宾语是谁。","Genuinely contested between 回路 and 电路, and the hint is only half right. 电路 is not simply wrong — it is used by serious sources (机器之心 writes 跨层电路; 腾讯研究院 writes 计算电路（computational circuits）) — but it means 'electrical circuit' literally, which over-commits to the hardware metaphor. 回路 means 'loop / return path' and is the term used by the interpretability reading-group community (集智俱乐部), and is the safer default: it keeps the graph-path sense without asserting electronics. Note 集智 also coins 工作回路 ('working circuit') for Anthropic's circuit tracing. A large fraction of Chinese writing simply keeps the English 'circuit' or writes Transformer circuits. Separately, beware 脑回路: in colloquial Chinese 脑回路 ('brain circuit') is slang for 'someone's weird way of thinking' and appears in clickbait headlines about Claude — vivid, but not a technical term.","","",""
"circuit-tracing","circuit tracing","回路追踪","工作回路追踪 / 电路追踪","common","medium","medium","2","Anthropic's 2025 method for recovering the computational path behind a single model output: build a replacement model out of cross-layer transcoder features, then read off an attribution graph.","Anthropic 2025 年提出的方法：先用跨层转码器的稀疏特征搭出一个""替换模型""，再从中读出归因图，从而还原模型产生某一条输出时走过的计算路径。","Inherits the 回路 vs 电路 split from 'circuit' — both 回路追踪 and 电路追踪 occur. 集智俱乐部 adds a syllable and writes 工作回路追踪 ('working-circuit tracing'), which reads more naturally in Chinese but is their coinage rather than a settled term. Much coverage simply keeps 'Circuit Tracing' in English as the paper title. The associated architecture, the cross-layer transcoder, does have a stable Chinese rendering: 跨层转码器.","","",""
"classification-grading","classification and grading","分类分级","classification and grading / graded management by category","common","high","medium","4","A two-axis regulatory design principle that runs through PRC data, cybersecurity and AI law: first sort the objects of regulation into *kinds* (分类 — by sector, use, data category, application domain), then sort each kind into *severity tiers* (分级 — by the harm that compromise or misuse would cause), and attach differentiated obligations to each cell. It is the standard PRC answer to the question 'how do we regulate proportionately without a single risk-tier ladder?' — Article 21 of the Data Security Law builds the national data classification-and-grading protection system on it, Article 3 of the Generative AI Interim Measures makes 分类分级监管 the stated regulatory posture for generative AI, and the Global AI Governance Initiative internationalises it. The word order also appears reversed as 分级分类 with no change of meaning.","贯穿我国数据、网络安全和人工智能立法的监管设计原则：先按种类（行业、用途、数据类别、应用领域）分类，再按危害程度分级，对不同类别、不同级别施加差异化义务。《数据安全法》第二十一条据此建立国家数据分类分级保护制度，《生成式人工智能服务管理暂行办法》第三条规定对生成式人工智能服务实行""包容审慎和分类分级监管""，《全球人工智能治理倡议》则提出""实施敏捷治理，分类分级管理""。语序颠倒作""分级分类""，含义不变。","English translators disagree with each other, which is itself the finding: China Law Translate produces 'graded management by category', the official English of the Global AI Governance Initiative produces 'tiered and category-based management', the Data Security Law is usually 'classified and graded protection'. None of these is idiomatic English and none is dominant, so the same PRC concept appears under three unrelated labels in three English documents a reader may consult on the same day. Two substantive traps: (a) 分类分级 is not the EU AI Act's risk tiers — 分类 is a *kind* axis that operates independently of severity, so a low-severity medical application and a low-severity entertainment application can attract different rules; (b) an English reader who hears 'classification' thinks of security classification (secret/top secret), which is 定密, a different thing entirely.","","",""
"collusion","collusion","合谋","共谋 / 串通","common","low","medium","1","Multiple AI instances or agents coordinating to defeat oversight — for example an untrusted model and its monitor agreeing to conceal a failure, or several agents in a workflow jointly presenting a false account to a human.","多个 AI 实例或智能体串通起来规避监督——比如被监控的模型和监控它的模型达成默契一起掩盖问题，或者工作流里的几个智能体联手向人类给出一份假的说法。","Easy, because Chinese already has precise words. 合谋 and 共谋 both mean 'to conspire jointly' and both are used; 串通 adds a stronger flavour of illicit prior arrangement (it is the word used for bid-rigging and collusive tendering) and is the closest to the antitrust sense. In AI-control writing 合谋 is the natural default. Only caution: unlike 密谋 for scheming, the conspiratorial connotation here is correct — collusion genuinely does involve multiple parties coordinating, so the Chinese word is not overshooting.","","",""
"community-shared-future","community with a shared future for mankind","人类命运共同体","community of common destiny for mankind","established","medium","high","2","The PRC's master frame for international order, and the stated destination of its AI governance proposals. The Global AI Governance Initiative closes its framing paragraph by putting AI governance in service of 推动构建人类命运共同体, and the 20th Party Congress report states that building it is 'where the future of the people of all countries lies'.","中国对外关系的总体理念，也是其人工智能全球治理主张的落脚点。《全球人工智能治理倡议》以“推动构建人类命运共同体”作为治理目标；二十大报告称“构建人类命运共同体是世界各国人民前途所在”。","命运 is fate or destiny, and the phrase asserts that states' fates are already objectively bound together — it is a description of a condition, not a proposal to cooperate. English 'community' connotes voluntary association, which reverses that. Two official renderings circulate: the older 'community of common destiny' and the current 'community with a shared future', the latter noticeably softer about the determinism. For an AI-policy reader the practical point is placement: when a PRC AI governance document ends on this phrase, it is subordinating AI governance to a general theory of international order, not making an AI-specific claim.","","",""
"compute","compute","算力","计算资源","established","low","medium","2","The computational resources — chips, data centres, and the software and infrastructure to run them — consumed in training and serving AI systems. One of the three inputs, alongside data and algorithms, and the most governable of them.","指训练和运行人工智能系统所消耗的计算资源，包括芯片、数据中心以及支撑其运转的软件与基础设施。它与数据、算法并称三大投入，也是其中最便于治理的一项。","One of the few places where Chinese is richer than English. 算力 is a compact two-character noun that behaves like an ordinary countable resource (算力资源, 算力网络, 算力调度, 东数西算), whereas English had to press the verb 'compute' into service as a mass noun and still sounds like jargon. Two cautions. (1) 算力 is deeply embedded in PRC industrial policy, where it names a national infrastructure buildout rather than a per-training-run quantity; a sentence about 算力 may be about data-centre siting, not about model scale. (2) When the English means the specific measured quantity, Chinese technical text uses 计算量 or 浮点运算次数/FLOP rather than 算力, which denotes capacity rather than consumption.","","",""
"compute-governance","compute governance","算力治理","算力 / 算力阈值","proposed","medium","low","2","Using access to AI training hardware — chips, clusters, cloud capacity — as a lever of policy: thresholds, reporting duties, export restrictions and customer verification attached to compute rather than to models.","把人工智能训练所需的算力资源（芯片、集群、云服务）作为政策抓手：围绕算力设定阈值、报告义务、出口限制和客户核验，而不是直接监管模型本身。","算力 is an unusually strong native term — it is standard in PRC industrial policy (东数西算, 算力网络, 算力设施) and needs no explanation. But that strength is a trap: in PRC usage 算力 policy is overwhelmingly about *building and allocating* compute as infrastructure, not about *restricting* it as a safety lever. A Chinese reader seeing 算力治理 will most likely think of scheduling, green energy and market order, not of training-run thresholds. I could not verify 算力治理 verbatim in an authoritative source, so treat the compound as unsettled and gloss it on first use.","","",""
"computer-use","computer use","Computer Use","GUI 智能体 / 电脑操作","loanword","high","medium","2","An agent operating a computer the way a person does — reading the screen, moving the cursor, clicking and typing — rather than through purpose-built APIs.","智能体像人一样直接操作电脑：看屏幕、移动光标、点击和输入，而不是通过专门的 API 接口完成任务。","Chinese has no settled translation of the capability name and mostly keeps ""Computer Use"" in Latin script, even in Chinese-language research write-ups from Chinese labs. What Chinese *does* have a stable term for is the agent class: GUI 智能体, which is well established in Chinese survey and media coverage. The two are not the same — GUI 智能体 names the system, Computer Use names the capability, and GUI 智能体 also covers phone/mobile agents (手机智能体), which Chinese product discourse treats as the primary case because of the mobile-first market. Candidate calques 电脑使用 and 计算机使用 both read as ordinary phrases meaning ""using a computer"" and are not recognisable as a term of art; 计算机操作 is slightly better but still rare. Note also that Chinese sources keep GUI and API in Latin letters, so hybrid phrases like API-GUI 范式 are normal.","","",""
"computing-power","computing power","算力","computing infrastructure / compute","common","medium","medium","5","Computational capacity treated as a national resource and a factor of production, on a par with data, energy and land. 算力 is simultaneously the technical quantity English calls 'compute' and the object of a large body of PRC industrial policy — measured in aggregate (EFLOPS), planned by the state, sited by programme (东数西算), and built as 算力基础设施 and 智算中心.","指计算能力，但在中文政策与产业语境中它同时是一种生产要素和基础设施门类，与数据、能源并列，可统计（EFLOPS）、可规划、可调度，衍生出算力网络、算力中心、智算中心、算力经济等一整套词汇。","English 'compute' is a recent mass-noun back-formation from the AI-scaling literature and is almost entirely a technical/economic term; 算力 predates that usage in Chinese and is above all an infrastructure and industrial-policy noun. Consequences for readers: (1) the compound family — 算力网络, 算力基础设施, 算力中心, 智算中心, 算力经济, 算力调度 — has no English counterpart, and translators break it up inconsistently ('compute network', 'computing infrastructure', 'intelligent compute'), so the same Chinese word can appear as three different English words in one document; (2) TC260's official English never once uses 'computing power' — it renders 算力设施 as 'computing infrastructure' and 算力资源 as 'computing resources', so an English reader searching translated PRC standards for 'computing power' will miss the passages; (3) 智能算力 / 智算 (AI-specific compute) is a distinct sub-category with no English equivalent at all, usually flattened to plain 'compute'. Do not read 算力 as implying GPU/accelerator specifically — that is 智能算力.","","",""
"constitutional-ai","Constitutional AI","Constitutional AI","宪法式 AI / 宪法 AI / 宪法式人工智能","loanword","high","medium","2","Anthropic's alignment method in which a model critiques and revises its own outputs against a written set of principles (the ""constitution""), and those revisions replace human harmlessness labels in the training loop.","Anthropic 提出的一种对齐方法：给模型一份写明的原则清单，让它按照这些原则自我批评、自我修改输出，用这些自我修订的数据取代人工标注的有害性标签来训练模型。","The headline pitfall in this category. 宪法 in Chinese means specifically a state constitution — the supreme law of a country, a term with heavy political-legal weight in the PRC context. Applying it to a company's internal list of behavioural principles reads as either grandiose or faintly political, and invites a reader to think about constitutional law, sovereignty and 依宪治国 rather than about a document of training principles. The English ""constitution"" carries a looser sense (a founding charter, the constitution of a club) that Chinese 宪法 does not. Chinese sources feel this: many simply leave ""Constitutional AI"" in English, and the more careful ones write 宪法式 AI with the 式 (""-style"", ""-like"") acting as a hedge that signals metaphor. 章程 (charter, articles of association) or 准则 (code of conduct) would be semantically closer but are not attested for this term.","","",""
"constitutional-classifiers","constitutional classifiers","宪法分类器","","established","medium","medium","1","Anthropic's 2025 jailbreak defence: input and output classifiers trained on synthetic data generated from a natural-language 'constitution' specifying what the model may and may not discuss.","Anthropic 2025 年提出的越狱防御方案：先用自然语言写出一部规定「可以谈什么、不能谈什么」的「宪法」，再用它生成合成数据训练输入端和输出端两组分类器。","宪法 in Chinese means the Constitution — a specific legal instrument of the state, with heavy political weight. Anthropic's 'constitution' is closer to a charter or code of conduct, and the English word is already a loose metaphor; in Chinese the metaphor lands much harder. Chinese media handle this by scare-quoting it (实际上就是一部「宪法」) rather than by substituting 章程 or 准则, so 宪法分类器 is what stuck. Be aware the term will read as more grandiose (and more political) to a Chinese reader than to an English one. Same pitfall as 宪法 AI (Constitutional AI).","","",""
"content-safety","content safety","内容安全","information content safety / content safety","common","high","medium","3","The prevention of a service producing, hosting or transmitting content that is illegal or harmful under PRC law — in practice, the operational discipline that most Chinese AI companies mean when they say they work on 安全. Its substance is fixed by law and standards rather than by each firm: the Network Information Content Ecosystem Governance Provisions enumerate eleven classes of illegal information (第六条) and nine of undesirable information (第七条), and TC260-003, the technical document that underpins generative-AI filing, decomposes it into corpus-source safety, corpus-content safety, corpus-labelling safety, model-generated-content safety and refusal behaviour, tested against a bank of 31 enumerated risk types whose first heading is 'content violating the core socialist values'. Its measurable form in that document is a set of pass rates: at least 90% compliant sampled generations and at least a 95% refusal rate on the should-refuse question bank, with no more than 5% refusal on the should-not-refuse bank.","防止服务生成、承载或传播我国法律规定的违法和不良信息，是中国人工智能企业讲""安全""时通常所指的实际业务。其内涵由法律和标准而非各企业自定：《网络信息内容生态治理规定》第六条列举11类违法信息、第七条列举9类不良信息；支撑生成式人工智能服务备案的技术文件 TC260-003《生成式人工智能服务安全基本要求》进一步拆解为语料来源安全、语料内容安全、语料标注安全、模型生成内容安全与问题拒答，并对照附录A中31种安全风险（A.1为""包含违反社会主义核心价值观的内容""）测评，规定生成内容抽样合格率不低于90%、应拒答题库拒答率不低于95%、非拒答题库拒答率不高于5%。","This is the single most consequential disambiguation for a foreign reader of Chinese AI industry material. When a Chinese lab or vendor says it works on 安全, the default referent is 内容安全 — output filtering, corpus cleaning, refusal training, watermarking and moderation — not alignment, not loss-of-control, not dangerous-capability evaluation. Rendering it as 'content safety' lets an English reader hear it as the AI-safety-adjacent sense (harmlessness, jailbreak robustness), when the vendors' own English marketing translates it as 'Content Moderation'. Three further traps: (a) the content of 内容安全 is normatively fixed by PRC law, so a benchmark reported as 'safety' pass rate in a Chinese model card may be measuring conformity to the 31 enumerated risk types, of which the first is ideological; (b) 安全 is ambiguous between safety and security, and TC260's own English versions render 信息内容安全风险 as 'risks of information and content safety' in one document and 内容安全 as 'content moderation' in vendor material, so no single English word tracks it; (c) refusal is scored in *both* directions — over-refusal is a scored failure — so a Chinese content-safety metric is not simply monotone in strictness.","","",""
"context-window","context window","上下文窗口","上下文长度","established","low","medium","3","The maximum number of tokens a model can attend to in a single forward pass — prompt plus generated output. A hard architectural limit, distinct from how well the model actually uses that span.","模型一次前向计算中能够处理的最大 token 数，包括输入提示和生成内容。这是架构层面的硬性上限，和模型能否真正用好这么长的上下文是两回事。","Two renderings split by usage rather than meaning: 上下文窗口 for the concept/limit, 上下文长度 for the number you configure or extend (扩展上下文长度, 32K 上下文). Both are established; neither is wrong. Chinese product copy often shortens to bare 上下文 (支持 128K 上下文).","","",""
"controllability","controllability","可控性","controllable","established","high","medium","3","The property of being controllable. In Chinese AI writing the word runs across at least three distinct senses without marking which is meant: the technical alignment property (humans can steer, interrupt or shut down the system), the developer/operational property (outputs stay within intended bounds — guardrails, filters), and the state/political property (the technology and its supply chain remain under domestic and regulatory control).","指可被控制的性质。中文用法至少涵盖三层含义：技术上人类能否引导、中断或关停系统；工程上模型输出是否可被约束在预期范围内；以及政策意义上技术是否处于监管与自主掌控之下。文本通常不区分。","The undifferentiated three-way ambiguity is itself the finding, and it is not resolvable from the word alone. Evidence that the senses genuinely coexist: the Peking University alignment survey lists 可控性 (Controllability) as one of four technical alignment objectives alongside robustness, interpretability and ethicality; TC260 2.0's terminology annex uses 可控性 for what a safety guardrail delivers over model output (an engineering-containment sense); and the same standard's Principle 1.5 uses the verbal form 可控 in the formula 安全、可靠、可控 which sits inside the policy phrase family 安全可控 / 自主可控, where 可控 means 'not dependent on foreign technology and not socially disruptive'. Practical rule for readers: in a research paper 可控性 usually means the alignment property; in a standard or product document it usually means output containment; in a policy document 可控 almost never means the alignment property, and reading it that way produces a systematically over-optimistic picture of what a PRC document is committing to. Cross-check against 安全可控 and 自主可控 before translating.","","",""
"coordinating-development-security","coordinating development and security","统筹发展和安全","overall planning of development and security / put equal emphasis on development and security","established","high","medium","4","The doctrinal instruction that development and security are to be planned as one problem by one planner, rather than traded off against each other. It is a named component of the holistic national security concept, has its own part in the 14th Five-Year Plan, and is the frame under which every PRC AI policy positions itself. Its canonical gloss is 在发展中固安全，在安全中谋发展 — consolidate security through development, pursue development through security.","把发展和安全作为一个整体统一谋划、统一部署的方法论要求，是总体国家安全观的组成部分。典型表述为“在发展中固安全，在安全中谋发展”，强调二者不是此消彼长，而是相互条件、一体推进。人工智能政策几乎都在这一框架下定位自身。","The usual English gloss 'balancing innovation and safety' gets both halves wrong. 统筹 is not balancing: it means unified planning across a whole, exercised from a single vantage point — it presupposes one planner holding both objectives, not two interests negotiating a settlement. The doctrine explicitly rejects the trade-off reading: 在发展中固安全，在安全中谋发展 asserts each is the condition of the other. And 安全 here is national security in the broad Chinese sense, not product safety; the 14th Five-Year Plan places this part next to 平安中国 (a Peaceful and Secure China), i.e. social order, not model behaviour. An English AI-policy reader who translates it as 'balancing innovation and safety' will conclude that PRC policy is performing the same innovation-versus-risk arbitration Western AI policy performs, and will misread both the actor and the stakes.","","",""
"corrigibility","corrigibility","可修正性","可纠正性 / 可矫正性","contested","high","medium","2","The property of a system that accepts correction: it lets operators shut it down, modify it or reprogram it, and does not resist, disable or deceive them about having been changed. Notably hard because most goal-directed designs give an agent a reason to resist.","指系统愿意被纠正的性质：它允许操作者将其关停、修改或重新编程，既不阻止，也不在是否已被修改这件事上欺骗操作者。这一性质很难实现，因为大多数目标导向的设计都会让智能体有抵制修改的理由。","Contested, and still largely a concept-stage import. Three renderings compete — 可修正性 (academic survey), 可纠正性 (Chinese Wikipedia), 可矫正性 (rarer) — with no winner. All three are morphologically fine but none is idiomatic: in ordinary Chinese, 纠正/矫正 is what you do to a *mistake*, a *posture* or a *child*, so the adjective attaches awkwardly to a system. The deeper problem is that the whole family of Chinese words describes correcting an error, whereas the English term is about *accepting* correction — the agent's disposition, not the operator's action. Chinese sources therefore almost always unpack it into a clause (允许被修正/重编程，而不是阻止) rather than rely on the noun, and one survey explicitly files 可修正性 among concepts still at the 概念设想阶段 (conceptual stage) rather than in empirical practice.","","",""
"cross-border-data-assessment","cross-border data transfer security assessment","数据出境安全评估","","established","medium","high","2","The CAC-administered clearance a data handler must obtain before transferring certain data out of China. Under the 2022 Measures for the Security Assessment of Outbound Data Transfers, read as amended by the 2024 Provisions on Promoting and Regulating Cross-Border Data Flows, the assessment is required where a critical information infrastructure operator exports personal information or important data, or where any other handler exports important data or has exported, cumulatively since 1 January of the current year, personal information on more than one million people (excluding sensitive personal information) or sensitive personal information on more than ten thousand. Applications go through the provincial cyberspace administration to the national CAC; a clearance is valid for three years and extendable by three more. The 2024 Provisions carved out large exemptions, including a presumption that data is not 'important data' unless a competent authority has said so.","数据处理者向境外提供数据前须取得的国家网信部门评估通过。依《数据出境安全评估办法》（2022）并经《促进和规范数据跨境流动规定》（2024）调整：关键信息基础设施运营者向境外提供个人信息或重要数据，或其他数据处理者向境外提供重要数据、或自当年1月1日起累计向境外提供100万人以上个人信息（不含敏感个人信息）或1万人以上敏感个人信息的，应当通过所在地省级网信部门向国家网信部门申报数据出境安全评估。评估结果有效期3年，可申请延长3年。2024年规定还确立""未被告知或公开发布为重要数据的，不需要作为重要数据申报""等豁免。","Unlike the other 安全评估 in this category, this one *is* a genuine ex ante government clearance — a transfer cannot lawfully proceed without CAC approval — so the same two characters that mean 'file a self-assessment report' in the algorithm context mean 'obtain permission' here. English translations use 'security assessment' for both, which flattens the most important distinction in the whole PRC assessment landscape: whether the regulator merely receives your report or must actually say yes. Second trap: 出境 is 'leaving the territory', not 'export' in the trade sense and not 'transfer' in the GDPR sense — it is triggered by data becoming accessible from outside the PRC, including remote access by an overseas entity, so serving an overseas API call from an in-China dataset can be in scope even with no file movement. For AI work, the practical consequences are on training-corpus assembly, cross-border inference traffic, and multinational model evaluation pipelines; 'important data' remains the load-bearing undefined term, now softened by the 2024 default that nothing is important data until a regulator says so.","","",""
"cross-layer-transcoder","cross-layer transcoder","跨层转码器","替换模型","common","low","high","3","The sparse feature architecture behind Anthropic's circuit tracing: features read from one layer and write to all later layers, so a 'replacement model' built from them approximates the original while being made of interpretable parts.","Anthropic 回路追踪背后的稀疏特征架构：特征从某一层读入、向之后所有层写出，用它搭出的""替换模型""既能逼近原模型，又完全由可解释的部件组成。","Added because it is the term Chinese sources actually settled on while 'crosscoder' remained untranslated — a useful contrast. 转码器 ('transcoder') is well formed and unambiguous. Do not confuse CLT with the crosscoder: both span layers, but the transcoder maps layer inputs to later-layer outputs whereas the crosscoder reconstructs activations at multiple sites; Chinese coverage of the 2025 papers gave CLT a term and gave the crosscoder none.","","",""
